Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
108988	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/101103.FACILITY	Bács-Tak Kft.	19.127062	46.265387	Rém	Ammonia (NH3)	23900.0	2007	1	0
108989	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Arsenic and compounds (as As)	66.0	2007	1	0
108990	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Cadmium and compounds (as Cd)	30.0	2007	1	0
108991	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Carbon dioxide (CO2)	336000000.0	2007	1	0
108992	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Carbon monoxide (CO)	613000.0	2007	1	0
108993	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Chromium and compounds (as Cr)	148.0	2007	1	0
108994	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Copper and compounds (as Cu)	178.0	2007	1	0
108995	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Mercury and compounds (as Hg)	10.0	2007	1	0
108996	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Nickel and compounds (as Ni)	86.0	2007	1	0
108997	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Nitrogen oxides (NOX)	1570000.0	2007	1	0
108998	Hungary	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	HU.EEA/138.FACILITY	Holcim Hungária Zrt.	18.5063592	47.7510882	Lábatlan	Sulphur oxides (SOX)	467000.0	2007	1	0
108999	Hungary	1	Energy sector	1(c)	Thermal power stations and other combustion installations	HU.EEA/140.FACILITY	Vértesi Erőmű Zrt.	18.271041	47.501688	Oroszlány	Carbon dioxide (CO2)	1840000000.0	2007	1	0
109000	Hungary	1	Energy sector	1(c)	Thermal power stations and other combustion installations	HU.EEA/140.FACILITY	Vértesi Erőmű Zrt.	18.271041	47.501688	Oroszlány	Carbon monoxide (CO)	833000.0	2007	1	0
109001	Hungary	1	Energy sector	1(c)	Thermal power stations and other combustion installations	HU.EEA/140.FACILITY	Vértesi Erőmű Zrt.	18.271041	47.501688	Oroszlány	Nitrogen oxides (NOX)	1730000.0	2007	1	0
109002	Hungary	1	Energy sector	1(c)	Thermal power stations and other combustion installations	HU.EEA/140.FACILITY	Vértesi Erőmű Zrt.	18.271041	47.501688	Oroszlány	Sulphur oxides (SOX)	5290000.0	2007	1	0
109003	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/158811.FACILITY	Bábolna Tetra Kft.	16.939929	47.374138	Vasegerszeg	Ammonia (NH3)	18000.0	2007	1	0
109004	Hungary	7	Intensive livestock production and aquaculture	7(a)(iii)	Installations for the intensive rearing of pigs with 750 places for sows	HU.EEA/158813.FACILITY	Nyugat Nyíregyházi Szövetkezet	21.660123	47.923425	Nyíregyháza	Ammonia (NH3)	54500.0	2007	1	0
109005	Hungary	2	Production and processing of metals	2(d)	Ferrous metal foundries with a production capacity of 20 tonnes per day	HU.EEA/170.FACILITY	Wescast Hungary Zrt.	18.301627	47.473321	Oroszlány	Benzene	1070.0	2007	1	0
109006	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/191341.FACILITY	Branau 2002 Kft.	18.748936	46.251315	Sárpilis	Ammonia (NH3)	14000.0	2007	1	0
109007	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/242.FACILITY	Wienerberger Téglaipari Zrt.	17.303471	46.676086	Balatonszentgyörgy	Benzene	1030.0	2007	1	0
109008	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/242.FACILITY	Wienerberger Téglaipari Zrt.	17.303471	46.676086	Balatonszentgyörgy	Chlorine and inorganic compounds (as HCl)	11400.0	2007	1	0
109009	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/253881.FACILITY	Bóly Mezőgazdasági Termelő és Kereskedelmi Zrt.	18.726759	46.059463	Bár	Ammonia (NH3)	18500.0	2007	1	0
109010	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/253891.FACILITY	Green 2000 Kft.	19.053874	46.32601	Nemesnádudvar	Ammonia (NH3)	11100.0	2007	1	0
109011	Hungary	2	Production and processing of metals	2(e)(ii)	Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)	HU.EEA/283.FACILITY	MAL Zrt.	17.549189	47.091124	Ajka	Mercury and compounds (as Hg)	26.0	2007	1	0
109012	Hungary	2	Production and processing of metals	2(e)(ii)	Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)	HU.EEA/283.FACILITY	MAL Zrt.	17.549189	47.091124	Ajka	Nitrogen oxides (NOX)	394000.0	2007	1	0
109013	Hungary	2	Production and processing of metals	2(e)(ii)	Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)	HU.EEA/283.FACILITY	MAL Zrt.	17.549189	47.091124	Ajka	PCDD + PCDF (dioxins + furans) (as Teq)	0.000597	2007	1	0
109014	Hungary	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	HU.EEA/343.FACILITY	Nitrogénművek Zrt.	18.130538	47.168134	Pétfürdő	Ammonia (NH3)	18800.0	2007	1	0
109015	Hungary	4	Chemical industry	4(a)(viii)	Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)	HU.EEA/39819.FACILITY	Graboplast Zrt.	17.654864	47.680685	Győr	Di-(2-ethyl hexyl) phthalate (DEHP)	9750.0	2007	1	0
109016	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39827.FACILITY	Wienerberger Téglaipari Zrt.	18.988772	47.585534	Budapest_III.	Benzene	1390.0	2007	1	0
109017	Hungary	3	Mineral industry	3(e)	Installations for the manufacture of glass, including glass fibre	HU.EEA/39829.FACILITY	GE Hungary Zrt.	19.142184	47.778202	Vác	Mercury and compounds (as Hg)	21.0	2007	1	0
109018	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39830.FACILITY	Wienerberger Téglaipari Zrt.	19.25561	47.691926	Őrbottyán	Benzene	1120.0	2007	1	0
109019	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39830.FACILITY	Wienerberger Téglaipari Zrt.	19.25561	47.691926	Őrbottyán	Carbon monoxide (CO)	509000.0	2007	1	0
109020	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39833.FACILITY	Wienerberger Téglaipari Zrt.	20.003249	47.176747	Abony	Chlorine and inorganic compounds (as HCl)	15700.0	2007	1	0
109021	Hungary	5	Waste and wastewater management	5(a)	Installations for the recovery or disposal of hazardous waste	HU.EEA/39835.FACILITY	BÉM Borsodi Érc, Ásvány és Hulladékhasznosító Mű Zrt.	20.77275	48.16239	Sajókeresztúr	PCDD + PCDF (dioxins + furans) (as Teq)	0.00111	2007	1	0
109022	Hungary	5	Waste and wastewater management	5(a)	Installations for the recovery or disposal of hazardous waste	HU.EEA/39835.FACILITY	BÉM Borsodi Érc, Ásvány és Hulladékhasznosító Mű Zrt.	20.77275	48.16239	Sajókeresztúr	Polychlorinated biphenyls (PCBs)	0.145	2007	1	0
109023	Hungary	3	Mineral industry	3(c)(iii)	Installations for the production of cement clinker or lime in other furnaces	HU.EEA/39839.FACILITY	Kalcinátor Kft.	20.79433	48.06543	Miskolc	Carbon dioxide (CO2)	141000000.0	2007	1	0
109024	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39840.FACILITY	Wienerberger Téglaipari Zrt.	21.387469	47.930796	Tiszavasvári	Benzene	1620.0	2007	1	0
109025	Hungary	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	HU.EEA/39840.FACILITY	Wienerberger Téglaipari Zrt.	21.387469	47.930796	Tiszavasvári	Chlorine and inorganic compounds (as HCl)	89800.0	2007	1	0
109026	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/39858.FACILITY	Sárvári Mezőgazdasági Rt.	17.027844	47.172975	Káld	Ammonia (NH3)	25300.0	2007	1	0
109027	Hungary	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	HU.EEA/39925.FACILITY	Cf Pharma Kft.	19.092212	47.455375	Budapest IX. kerület	Dichloromethane (DCM)	218000.0	2007	1	0
109028	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/39971.FACILITY	Adony-Hús Sertéstenyésztő, Hús- és Takarmány-feldolgozó és Szolgáltató Kft.	18.834312	47.122305	Adony	Ammonia (NH3)	25500.0	2007	1	0
109029	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40017.FACILITY	Extra Pig Kft.	17.133747	47.964176	Rajka	Ammonia (NH3)	25800.0	2007	1	0
109030	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40035.FACILITY	Négy-Határ 99 Kft.	20.743341	46.363035	Nagyér	Ammonia (NH3)	10500.0	2007	1	0
109031	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40039.FACILITY	Tanaszek Kft.	17.329868	46.441564	Tapsony	Ammonia (NH3)	12900.0	2007	1	0
109032	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40040.FACILITY	Várda-Baromfihús Termelő, Feldolgozó és Kereskedelmi Kft.	22.005441	48.184296	Pátroha	Ammonia (NH3)	28700.0	2007	1	0
109033	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40045.FACILITY	Tisermix Sertéstenyésztő- és Hizlaló, Takarmánygyártó- és Forgalmazó Kft.	21.369135	47.932783	Tiszavasvári	Ammonia (NH3)	15700.0	2007	1	0
109034	Hungary	7	Intensive livestock production and aquaculture	7(a)(iii)	Installations for the intensive rearing of pigs with 750 places for sows	HU.EEA/40053.FACILITY	Pankota Pig Sertéstenyésztő Kft.	20.458449	46.578897	Nagymágocs	Ammonia (NH3)	15200.0	2007	1	0
109035	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40054.FACILITY	Csanádpalota Sertés Hústermelő és Kereskedelmi Kft.	20.731677	46.264259	Csanádpalota	Ammonia (NH3)	10000.0	2007	1	0
109036	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40057.FACILITY	Bafami Kft.	18.964292	46.437166	Bátya	Ammonia (NH3)	24300.0	2007	1	0
109037	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40059.FACILITY	"""Kardos-Agro"" Állattenyésztő és Kereskedő Kft."	20.42251	46.470587	Kardos	Ammonia (NH3)	30400.0	2007	1	0
109038	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40066.FACILITY	Dobozi Petőfi Petőfi Mezőgazdasági Termelő- és Szolgáltató Szövetkezet	21.247201	46.744393	Doboz	Ammonia (NH3)	19400.0	2007	1	0
109039	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40067.FACILITY	Új Élet Mezőgazdasági Szövetkezet	20.567509	46.531494	Székkutas	Ammonia (NH3)	21900.0	2007	1	0
109040	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40073.FACILITY	Beneti-Pig Kft.	20.057549	46.285746	Szeged	Ammonia (NH3)	18400.0	2007	1	0
109041	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40074.FACILITY	Beneti-Pig Kft.	20.192978	46.27199	Szeged	Ammonia (NH3)	11800.0	2007	1	0
109042	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40075.FACILITY	Agro-Duál Mezőgazdasági Termelő és Kereskedelmi Kft.	20.91507	46.823885	Mezőberény	Ammonia (NH3)	12300.0	2007	1	0
109043	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40079.FACILITY	Dráva-Coop Zrt.	17.42341	45.956807	Barcs	Ammonia (NH3)	33800.0	2007	1	0
109044	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40080.FACILITY	Nagyatád Szövetkezet	17.332188	46.07814	Háromfa	Ammonia (NH3)	21700.0	2007	1	0
109045	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40082.FACILITY	Szentistváni Mezőgazdasági Szolgáltató és Kereskedő Szövetkezet	20.647867	47.845108	Mezőnyárád	Ammonia (NH3)	66600.0	2007	1	0
109046	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40083.FACILITY	Nyugat Nyiregyházi Szövetkezet	21.684425	47.929626	Nyíregyháza	Ammonia (NH3)	21200.0	2007	1	0
109047	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40084.FACILITY	Szalántai Mezőgazdasági Termelő, Szolgáltató és Kereskedelmi Zrt.	18.231074	45.96015	Szalánta	Ammonia (NH3)	12400.0	2007	1	0
109048	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40085.FACILITY	Csibe-Top Kft.	19.517004	46.410518	Kiskunhalas	Ammonia (NH3)	23200.0	2007	1	0
109049	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40086.FACILITY	Füzes-Farm 95 Kft.	20.373082	47.758644	Füzesabony	Ammonia (NH3)	24900.0	2007	1	0
109050	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40087.FACILITY	Rába Tak-Hús Rt.	17.085625	47.444776	Rábakecöl	Ammonia (NH3)	18900.0	2007	1	0
109051	Hungary	7	Intensive livestock production and aquaculture	7(a)(iii)	Installations for the intensive rearing of pigs with 750 places for sows	HU.EEA/40088.FACILITY	Fiorács Kft.	18.014946	47.733195	Ács	Ammonia (NH3)	19400.0	2007	1	0
109052	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40090.FACILITY	Fiorács Kft.	18.170729	47.67622	Mocsa	Ammonia (NH3)	22200.0	2007	1	0
109053	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40091.FACILITY	Fiorács Kft.	17.133111	47.772795	Jánossomorja	Ammonia (NH3)	14000.0	2007	1	0
109054	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40096.FACILITY	Szigethát Mezőgazdasági, Kereskedelmi és Szolgáltató Kft.	20.909025	47.632243	Egyek	Ammonia (NH3)	11200.0	2007	1	0
109055	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40099.FACILITY	Agroprodukt ZRT.	17.380409	47.317262	Mihályháza	Ammonia (NH3)	26300.0	2007	1	0
109056	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40103.FACILITY	Táncsics Mgsz. Nagyalásony	17.321908	47.211622	Vid	Ammonia (NH3)	15400.0	2007	1	0
109057	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40104.FACILITY	Dalmand Zrt.	18.187811	46.421571	Dombóvár	Ammonia (NH3)	26200.0	2007	1	0
109058	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40105.FACILITY	Dalmand Zrt.	18.164216	46.429315	Dombóvár	Ammonia (NH3)	15300.0	2007	1	0
109059	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40108.FACILITY	Orosházi Béke Agrár-Szövetkezet	20.646353	46.589972	Orosháza	Ammonia (NH3)	27700.0	2007	1	0
109060	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40114.FACILITY	Magvető 2003 Kft.	17.69536	46.077967	Merenye	Ammonia (NH3)	12200.0	2007	1	0
109061	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40115.FACILITY	Tápi-Csipogó Kft.	17.826376	47.524858	Táp	Ammonia (NH3)	23800.0	2007	1	0
109062	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40118.FACILITY	Tedej Agrártermelő és Szolgáltató Rt.	21.410041	47.902519	Hajdúnánás	Ammonia (NH3)	51000.0	2007	1	0
109063	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40126.FACILITY	R & J Termelő, Kereskedő és Szolgáltató Kft.	21.497106	47.566397	Debrecen	Ammonia (NH3)	13600.0	2007	1	0
109064	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40127.FACILITY	R & J Termelö, Kereskedö és szolgáltató Kft.	21.164015	47.333062	Püspökladány	Ammonia (NH3)	21200.0	2007	1	0
109065	Hungary	7	Intensive livestock production and aquaculture	7(a)(iii)	Installations for the intensive rearing of pigs with 750 places for sows	HU.EEA/40128.FACILITY	Tiszántúli Vágósertés Kft.	21.32717	47.638578	Balmazújváros	Ammonia (NH3)	10300.0	2007	1	0
109066	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40131.FACILITY	Hungária-Barnak Kft.	16.904706	46.714686	Pölöske	Ammonia (NH3)	15500.0	2007	1	0
109067	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40136.FACILITY	Piros Arany Szövetkezet	18.954154	46.478182	Bátya	Ammonia (NH3)	11200.0	2007	1	0
109068	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40137.FACILITY	Érsekcsanádi Mezőgazdasági Szövetkezet	19.00319	46.235386	Érsekcsanád	Ammonia (NH3)	30300.0	2007	1	0
109069	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40138.FACILITY	Avi-Coop Termelő, Kereskedelmi és Szolgáltató Kft.	20.546703	47.151219	Kuncsorba	Ammonia (NH3)	19500.0	2007	1	0
109070	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40141.FACILITY	Kastélydomb Kft.	19.797966	46.725189	Kiskunfélegyháza	Ammonia (NH3)	32100.0	2007	1	0
109071	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40144.FACILITY	Kaluterm Kft.	20.250218	46.938314	Cibakháza	Ammonia (NH3)	38200.0	2007	1	0
109072	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40163.FACILITY	Narivo Állattenyésztő és Növénytermelő Kft.	20.914734	47.971657	Muhi	Ammonia (NH3)	27500.0	2007	1	0
109073	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40166.FACILITY	Fiorács Kft.	17.904185	47.64669	Bana	Ammonia (NH3)	10100.0	2007	1	0
109074	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40168.FACILITY	Bátagro Bt.	18.697923	46.186928	Bátaszék	Ammonia (NH3)	18800.0	2007	1	0
109075	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40171.FACILITY	Berettyóújfalui Dózsa Mezőgazdasági Szövetkezet	21.542922	47.244636	Berettyóújfalu	Ammonia (NH3)	12000.0	2007	1	0
109076	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40179.FACILITY	Táp Kft.	16.867919	47.39577	Sajtoskál	Ammonia (NH3)	76400.0	2007	1	0
109077	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40183.FACILITY	Farmer-Kiss Kft.	16.879672	46.400884	Szepetnek	Ammonia (NH3)	49800.0	2007	1	0
109078	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40185.FACILITY	Hajdunánási Béke Mezőgazdasági Szövetkezet	21.413836	47.780522	Hajdúnánás	Ammonia (NH3)	14800.0	2007	1	0
109079	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40186.FACILITY	Sylvain Kft.	20.176576	46.169592	Tiszasziget	Ammonia (NH3)	13000.0	2007	1	0
109080	Hungary	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	HU.EEA/40187.FACILITY	Atek Agrár Termelö Kft.	20.28469	47.623827	Heves	Ammonia (NH3)	12400.0	2007	1	0
109081	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40193.FACILITY	Erdei Farm Bt.	19.80675	47.79299	Gyöngyöspata	Ammonia (NH3)	17200.0	2007	1	0
109082	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40199.FACILITY	Ebesi Pulykahízlaló Kft.	21.508371	47.461263	Ebes	Ammonia (NH3)	80300.0	2007	1	0
109083	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40200.FACILITY	Baromfi-Coop Kft.	21.338307	47.296624	Földes	Ammonia (NH3)	73900.0	2007	1	0
109084	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40202.FACILITY	TÁP Takarmányfuvarozási és Baromfitenyésztő Kft.	19.811379	46.351239	Üllés	Ammonia (NH3)	42800.0	2007	1	0
109085	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40205.FACILITY	Bodzási Brojler Agrár Termelő és Műszaki Fejlesztési Eredményeket Hasznosító Kft.	20.94553	46.525038	Medgyesbodzás	Ammonia (NH3)	29700.0	2007	1	0
109086	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40206.FACILITY	Thermo-Strukt Kft.	19.534751	46.357888	Balotaszállás	Ammonia (NH3)	13900.0	2007	1	0
109087	Hungary	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	HU.EEA/40209.FACILITY	B-Broiler Kft.	17.77819	47.660011	Bőny	Ammonia (NH3)	39100.0	2007	1	0
